Repository,File,Commit Message
mozilla/developer-challenge-platform,app/views/admin/base/_nav.html.erb,merged challenges in admin
mozilla/developer-challenge-platform,app/views/admin/challenges/_challenges_table.html.erb,merged challenges in admin
mozilla/developer-challenge-platform,app/views/messages/index.html.erb,"added link to send a message, fixed sending message"
mozilla/developer-challenge-platform,app/views/admin/challenges/_state_reviewing.html.erb,"fixed list of reviewers in admin view, sending reviwer comment to user"
mozilla/developer-challenge-platform,app/views/attempts/show.html.erb,"fixed list of reviewers in admin view, sending reviwer comment to user"
mozilla/developer-challenge-platform,app/views/messages/index.html.erb,"fixed list of reviewers in admin view, sending reviwer comment to user"
mozilla/developer-challenge-platform,app/views/layouts/application.html.erb,added more info to user profiles and message count
mozilla/developer-challenge-platform,app/views/users/show.html.erb,added more info to user profiles and message count
mozilla/developer-challenge-platform,app/views/admin/challenges/_state_judging.html.erb,added public vote to admin
mozilla/developer-challenge-platform,app/views/admin/challenges/_state_reviewing.html.erb,added public vote to admin
mozilla/developer-challenge-platform,app/views/challenges/_disqus.html.erb,moved disqus comments to the attempt from the challenge
mozilla/developer-challenge-platform,app/views/attempts/_disqus.html.erb,implemented public voting
mozilla/developer-challenge-platform,app/views/attempts/show.html.erb,implemented public voting
mozilla/developer-challenge-platform,app/views/challenges/show.html.erb,implemented public voting
mozilla/developer-challenge-platform,app/views/home/index.html.erb,implemented public voting
mozilla/developer-challenge-platform,app/views/challenges/_challenge_form.html.erb,using starts_at ends_at instead of suggested duration
mozilla/developer-challenge-platform,app/views/layouts/application.html.erb,"removed community, renamed as submit a challenge, setting mozilla.com users as admin submissions"
mozilla/developer-challenge-platform,app/views/attempts/show.html.erb,sending judges comment to user as a message
mozilla/developer-challenge-platform,app/views/admin/challenges/_state_reviewing.html.erb,"changed review admin score label to yes count, added 3 other lenses to judging scoring and updated the average score"
mozilla/developer-challenge-platform,app/views/attempts/show.html.erb,"changed review admin score label to yes count, added 3 other lenses to judging scoring and updated the average score"
mozilla/developer-challenge-platform,app/views/admin/challenges/_state_judging.html.erb,fixed the admin section for viewing who is judging which entries
mozilla/developer-challenge-platform,app/views/admin/challenges/_state_reviewing.html.erb,fixed shortlisting
